kriol	english
boilap	bubble up
boilim	boil
boilim	boil something
boilimap	boil
boilimap	disturb
boiling	boiling
boiling	bubbling
boiling	foaming
bois	voice
boiwan	male
boiwan	protruding
bojiwan	dented
bojiwan	sporty
bojwan	boss
bojwan	leader
boks	box
boks	coffin
boks	crate
boksin	box
bol	ball
boldan	fall down
boldan	roll
boldan	turn over
boldi	bald
bolibol	volleyball
bololo	fruit
bolorum	follow
bom	bomb
bomereing	boomerang
bomit	vomit
bon	bone
bon	born
bon	Alawa
bon	to be
bon	be born
bon	set out
bonaro	bow
bonaro	bow and arrow
bonbala	skinny
bonbala	slim
bonbala	undernourished
bonbij	bony bream
bonbij	eel
bonibala	skinny
bonibala	slim
boniboni	colt
boniboni	foal
boniboni	young horse
boniboni	pony
bonic	bionic
boniwan	bony
bonpis	bonefish
bontain	semitrailer
borlorlo	wild passionfruit
born	be born
born	born
born	fall down
born	to be
bornim	give birth to
bornim	born
bornim	fall down
bornim	to be
borred	forehead
borrimat	pour out
bos	boss
bos	owner
bos	manager
bosimran	boss around
bosmen	boss
bosmen	owner
bosmen	ruler
bosmen	manager
boswan	chief
boswan	head
boswan	principal
bot	boat
bot	ship
botboi	deckhand
botji	sporty
botmen	deckhand
botul	bottle
bout	boat
bra	brassiere
braba	correct
brabli	appropriately
brabli	correctly
brabli	properly
brabli	really
brabli	very
brabliwan	excellent
brabliwan	perfect
brabliwei	correctly
brabliwei	excellently
brait	be afraid
brait	be frightened
braitnim	frighten
braja	brother
brambi	brumby
brambi	wild horse
bran	brown
branda	verandah
brandum	stamp
brash	brush
bratha	brother
braun	brown
breb	brave
bred	bread
breibwan	brave
breigap	break
breigap	be
breigap	broken
breigim	break
breigim	cut
breigim	pushover
breigim	sever
breigimap	break up
breigimdan	breakdown
breigimdan	tear down
breigimof	break off
breikat	break out
breikdan	breakdown
breikin	break into
breikin	broken
brein	clever
breinibala	clever
brejwoda	fresh water
brekfis	breakfast
bren	brain
bren	friend
bren	mate
bren	mind
brend	brand
brend	mark
brend	to
brendim	brand
brendim	mark
brendim	cut
brentj	branch
brentjis	branch
brenyu	modern
bresh	fresh
bresh	new
brespleit	breastplate
brida	bull
brijing	preaching
briks	bricks
brim	bream
bringim	bring
bringimap	bring up
bringimat	bring out
bringimbek	bring back
bringimbek	return
briskit	chest
brogibrogi	frog
brogimap	break
broginwan	broken
brok	become broken
brokam	break
brokdan	breakdown
brokum	break
brokum	cut
brokum	sever
brolga	brolga
brolga	sarus crane
brom	from
brom	through
brudbrud	bandicoot
brudbrud	mouse
bruginbala	broken
brum	broom
brum	mop
bubumap	put up
budimin	put in
budum	kick
budum	place
budum	put
budum bingga	clap
budum mijelb	show off
budumat	place out
budumat	put out
budumbek	best
budumbudum	accelerate
budumdan	put down
budumon	put on
bugika	bookkeeper
bui	hey you
buj	bush
buj	confused
buj	lost
buj	scrub
bujabe:d	butcherbird
bujabe:d	magpie
buji	female genitals
buji	if
bujigat	cat
bujigat	native cat
bujigat	native
bujiget	cat
bujij	branches
bujij	bushes
bujij	leaves
bujin	poison
bujinim	poison
bujul	female genitals
bujum	push
buk	book
buk	letter
bul	full
bul	bull
bulak	cattle
bulangkanga	currant
bulap	full
bulap	satiated
bulap	to be
bulap binji	satiated
bulap binji	full
buldan	fall down
buldosa	bulldozer
buligi	cattle
buligi milk	cow’s milk
bulmun	full
bulngerri	bull
buludang	lizard
buludang	blue-tongue lizard
buludang	small
buludang	blue-tongued lizard
buludang	bluetongue
bulum	pull
bulumap	pull up
bulumap	pull off
bulumat	take away
bulumat	take off
bulumwei	pull away
bulumwei	take away
bulurrum	follow
bulwan	full
bumareing	boomerang
bumbum	buttocks
bumbum	defecate
bundubundu	pregnant
bungga	penis
bungga	vagina
bungga	rock
bungga	wallaby
bunggawa	boss
bunggawa	captain
bunggawa	king
bunggawa	lord
bunggul	sing
bunggul	corroboree
bunjarra	jealous
bunjarra	sulky
bunji	if
burdagul	spear
burdi	pretty
burdiblawa	flower
burdiperit	parrot
burlburl	lungs
burlum	pull
burluman	cattle
burnbala	skinny
burnbala	thin
burro	from
burro	through
burru	from
burru	through
burrum	from
burrum	through
burrunggitgit	dwarf
bus	bush
bush	bushy
bush	be confused
bush	be lost
bush	wild
bush purteida	yam
bush rod	track
bushi	thick bush
bushi	shade
but	boot
but	feet
but	foot
but	footprint
but	shoe
but	wheels
butbolgran	playing field
butja	circumcise
butjabed	butcherbird
butleis	bootlace
butwok	walk
da	the
dab	dove
dab	pigeon
dab	Dove
dab	peaceful
dabul	fold
dabulap	double up
dabulap	fold
dabulum	bend
dabulum	fold
dabulum	roll
dabulum	wind
dabulum	coil up
dabulum mijelb	curl up
dabulumap	double up
dabulumap	fold
dabulumap	roll up
dabulumap	crumple
dadan	that one
dadei	that way
dadi	father
dadi	dad
dadiwan	big
dadiwan	paternal
dadiwan	crocodile
daun	down
daun	lower
daun	bottom
daga	bread
daga	food
daga	vegetable food
daga	damper
daga	tucker
dagat	eat
dagatginu	dug-out canoe
dagblu	dark blue
dai	die
daib	dive
daibadak	cormorant
daibadak	darter
daibin	dive into
daim	time
daimap	tie up
daiya	tyre
dak	duck
dak	dark
dakdak	duck
dala	dollar
daldu	enough
dalim	tell
dalim	speak
dalim	talk
dalim	do
dalim	say
dalimof	scold
dalmidalmi	eel
dan	down
danab	turn off
danbek	turn back
danda	gecko
dangki	donkey
dangulim	tangle up
danim	turn
danim	twist
danim	turn over
danimran	turn around
danimran	turn over
dap	top
dardi	dirty
dardim	make dirty
darran	that
darrei	that way
das	dirt
das	dust
das	mud
das	smoke
das	whirlwind
dasko	fight
dasol	that’s all
dastim	make dirty
dastim	overtake
dastim	pass
dastim	win
dastim	get
dat	that
datbala	he
datbala	it
datbala	she
datmaj	so much
datwan	that one
daunwei	underneath
dawuda	clan
dea	there
debada	death adder
debala	deaf
debala	be deaf
debul	card game
debul	devil
debul	evil spirit
debul debul	praying mantis
ded	dead
ded	paralysed
dedbreik	brake
dedi	father
dedi	uncle
dedliwan	dangerous
dedliwan	deadly
dedliwan	excellent
dedsilip	deep sleep
def	obsessed
definimapwan	loud-sounding
dega	dagger
deganaif	dagger
dei	day
dei	they
deibreik	daybreak
deigidawei	take away
deigim	take
deigimap	take up
deigimat	pump out
deigimat	take out
deigimat	take off
deigimat	separate
deigimat	take away
deigimbek	return
deigimbek	take back
deigimdan	dismantle
deigimdan	take down
deigimoba	take over
deigimof	take off
deigimwei	remove
deigimwei	take away
deigimwei	separate
deigimwei	take out
deilait	daylight
deilait	early morning
deim	dam
deinimdan	dislike
deinimdan	refuse
deinimdan	turn down
deinja	dangerous
deipumap	record
deis	days
deitaim	daytime
deiting	dating
delim	tell
dem	them
demba	damper
demba	food
demba	tucker
dembala	ten
dembum	stamp
den	then
dens	dance
densa	dancer
derribang	trepang
deset	desert
det	that
detdet	bird species
detlat	those
detlot	those
detmatj	that much
detmob	those
detwan	that one
deya	there
di	tea
di:l	deal
di:l	shuffle
di:pinim	deepen
dia	dangerous
dia	important
dia	sacred
dibala	deep
dibulbe:d	cuckoo
dibuldibul	devil
dibuldibul	evil spirit
dibuldibul	praying mantis
dibuldibul	Satan
dibuldibul	cuckoo
