meaning	kriol	english_gloss
19637649	doktabala	male medical worker
37561868	doktabala	the clever man
19636497	doldol	knife game
19638273	doldol	cucumber (plant species)
19634480	donkenggarru	kangaroo (stone animal species)
19634475	drafhos	horse (draft animal species)
19640411	drafhos weigan	draft horse wagon
37563844	drai	dry out in sun (lilyseed, etc.)
37561652	draibim	drive (a car)
37564084	draibim	take fast (running, driving)
37564084	draibim	take fast
37564085	draibim	drive (someone)
37562229	draun	be covered in water
37562230	draundim	drown someone/something
19637077	dregin flai	dragon fly (red tail) (insect species)
19637607	dreit wei	right marriage
19637606	dreitbala	right marriage partner
19637608	dreitbalawei	right marriage
19639319	drimtaim	sleeping time
19639983	dubala	them two
19640002	dubala	they two
19640280	dubob	twenty cents
19634698	dumajim	because he
19638286	dunda	grass (plant species)
19638283	dupal	fruit (plant species)
37561466	dyu	stratus at ground level
19635986	egpat	egg-like part
37561190	egpat	’eye’ of sugarbag
37561190	egpat	sugarbag honeycomb
37562169	egpat	honeycomb : its ’eye’
19634818	egret	egret (bird species)
19634366	ei	agreed (question)
19635548	ei	correct (question)
27881513	eig	body housing an embryo
19637121	eindit	isn’t it (question)
19637073	elifan bibi	caterpillar (insect species)
37561162	enbed	ant hill of termites or ordinary ants
19636011	endimap	bring to an end
37561103	enikain	all kinds of frogs
37562899	enikain	bird (generic)
19640836	enimul leidi	zoo keeper (female)
19639385	failsinik	file snake (snake species)
37562486	faiya	forewood
37562529	faiyastik	i.e. burning or glowing stick from fire
37563187	faiyastik	fire stick tree or implement
19636117	feyago	fair go
19636198	fidlingran	fiddling around
19638281	fig	fig (plant species)
37562315	filimap	fill (billy) with (sugarbag)
37562321	fishnet	net for fishing
37561753	fladwoda	moving water
19637067	flai	insect (generic)
19637079	flai	fly (insect species)
37561210	flai	both Italian and native
37562537	flai	Italian and native; flies
37563034	flai	fly (bird, plane)
19634470	flain foks	flying fox (animal species)
27888257	flain foks	bat of the genera ''Pteropus'' or ''Acerodon''
19640158	flikim	toss (a coin)
37561466	fog	stratus at ground level
19636425	fowiktaim	in four weeks time
19636452	fraitbalawei	in a frightened manner
19636453	fraitinbala	frightened person
19636446	frengija	mutual friends
19638659	frij	refigerator
37561099	frog	frog (generic)
37561103	frog	all kinds of frogs
19636181	futwet	get wet feet
19635734	ga	defacate
19638695	gabalili	gecko (reptile species)
19638705	gabalili	lizard (reptile species)
19638714	gabalili	skink (reptile species)
37562815	gabarrimap	sprinkle something over
19638855	gabijdin	rubbish tin
19637630	gabo	may (question)
19637074	gadabila	caterpillar (insect species)
19634798	gagadu	cockatoo (bird species)
19639784	gajak	swear word
37563336	gajim	get seeds
37563999	gajim	take out from fire
37563999	gajim	sweep dust away
19638761	galapinran	ride horse round
37563447	galimap	climb (a hill)
37563607	gam	gum off Terminalia sp. tree
19634990	gambek bumareng	returning boomerang
19638711	gamwarra	lizard (large reptile species)
19640201	gangabarri tri	black currant (tree species)
19640202	gangabarri tri	black plum (tree species)
37563448	ganjal	break with teeth
19640217	garabas	milkwood (tree species)
19636098	gardi	expression of mild surprise or horror
19636047	gardiyawei	European type
19636046	garria	European male
19637909	garria	non-Aboriginal
19639785	gatja	swear word
37562787	gejim	catch (fish, etc.)
37562787	gejim	feel for (it)
19636866	gejimap	go high
19638696	geko	gecko (reptile species)
27961335	gel	adult female human being
37561479	gel	woman’s daughter
37561479	gel	man’s sister’s daughter
37561529	gel	woman’s child
37561529	gel	man’s sister’s child
37562398	gel	daughter of woman or of a man’s sister
37563732	gel	daugher of woman
37563732	gel	or of sister of a man
19634826	gela	galah (bird species)
19636096	gen	expression of error
19636092	genwo	expression of agreement
19634827	gila	galah (bird species)
19636567	gimi	give to me
19634461	ginggong ginggong	donkey (animal species)
27879368	ginggong ginggong	a domestic animal
19636186	girria	European female
19636187	girria	non-Aboriginal female
19640677	gitjaj	get wild
37563447	goap	climb (a hill)
37563863	goat	come out (baw-najini)
37563067	godan	set (of sun)
19634799	gogi	cockatoo (bird species)
19635622	gogi	crest of bird
37561360	goj	rock outcrops
37561387	goj	big gorge
19634800	gokidu	cockatoo (bird species)
19636485	gona	future marker
19638699	gowena	goanna (reptile species)
19638712	gowena	lizard (large edible reptile species)
19637075	grab	caterpillar (insect species)
19637084	grab	grub (insect species)
37561197	grab	curl grub - lava of Black beetle
37563566	grab	curl grub
37563313	grajim	dig (for yams)
37563770	grajim	poke something in to make hole
19637082	grajopa	grasshopper (insect species)
37561151	grajopa	grasshopper (ordinary)
37561164	grajopa	also red dragonfly
37562704	grajopa	red dragonfly
37562459	gras	grass (generic)
19634498	gras wolabi	wallaby (agile animal species)
19634503	gras wolabi	wallaby (sandy animal species)
37561935	gras wolabi	grass wallaby
19637083	grashopa	grasshopper (insect species)
37561149	grashopa	Mountain grasshopper
19636638	greid	grade (school)
19634458	greihaun dog	dingo (animal species)
19634471	greihaun dog	greyhound type
19634471	greihaun dog	greyhound type (animal species)
37561916	greihaun dog	greyhound dog
37561916	greihaun dog	like greyhound
19638285	greip	grapes (plant species)
37564031	grenfatha	grandfather - father’s father
37561528	greni	step-grandchild
37564152	greni	grandmother - mother’s mother
37561515	grensan	woman’s daughter’s son
37561527	grensan	woman’s daughter’s child
37562500	grensan	woman’s daugher’s
19640212	grin plam	green plum (tree species)
19636279	gropa	groper (fish species)
19636094	gudjob	expression of approval
19636097	gudnait	expression of greeting
19637248	gugunja	lamb chops
19636270	gulamajarri	catfish (fish species)
19640223	gulamarra	with spikes
19640223	gulamarra	with spikes (tree species)
19640221	gulbuntri	Vicks smell
19640221	gulbuntri	Vicks smell (tree species)
19636374	gulibidamba	bush food
37564066	gulijap	a little way away
19640222	gulukguluk	Vicks smell
19640222	gulukguluk	Vicks smell (tree species)
19637653	gulutgulun	medicine type
19640203	gundarl	black plum (tree species)
19634494	gundie	wallaby (animal species)
19634478	gurdibu	kangaroo (plains animal species)
19634787	gurranda	brolga (bird species)
19634828	gus	goose (bird species)
19634850	gus	magpie goose (bird species)
37562962	gus	Magpie or Pied
37564357	gus	Magpie or Pied Goose
19638269	gusaba	cassava (plant species)
19638284	gusbri	gooseberry (wild plant species)
37563562	gwei	leave. go away
19638700	gwena	goanna (reptile species)
37561059	gwena	large brownish red goanna
37561059	gwena	"3-4"" (7.5-10 cm) wide or smaller"
37561059	gwena	in hill or stone country (tablelands)
37563777	gwena	large brownish-red
37563777	gwena	in hill/stone country
19636734	hafwan	half portion
37563212	hafwei	half way up
37561615	hambag	be constantly angry
37562358	hambag	be a nuisance (of children)
19636987	hampibekmen	humpbacked man
37563516	hatjamp	get shcok
19636761	hengdei	hanging day
37562337	hidim	hit or kill
37562337	hidim	(with spear, gun, hand, etc.)
37562042	hipbon	back part of pelvis
37562045	hipbon	hip bone : coccyx
37562895	hipbon	black part
19636906	hitimdan	hit down
19636921	holologwan	having a cylindrical hole
37561928	hon	horn (of bullock)
27960575	hu	who? (interrogative pronoun)
37562387	huk	fishing line or hook
19634989	huk bumareing	hook boomerang
37562622	idim	enjoy eating
19634814	igul	eagle (bird species)
19634832	igul	hawk (bird species)
19634815	igulok	eagle (bird species)
19634833	igulok	hawk (bird species)
19639973	imdubala	theirs (of two)
19639984	imdubala	them two
19640003	imdubala	they two
19634819	imiyu	emu (bird species)
27882353	imiyu	A large flightless bird, ''Dromaius novaehollandiae''
19640209	imiyu daga	emu food
19640209	imiyu daga	emu food (tree species)
37564017	imiyu daga	Kerosene Tree
37564017	imiyu daga	emu tucker
19639381	imiyu sneik	bites emus
19639381	imiyu sneik	bites emus (snake species)
19637120	indit	isn’t it (question)
19636265	jalgibij	barramundi (young fish species)
19634837	jabiru	jabiru (bird species)
37563149	jabiru	Red-legged
19634456	jabo	cat (native animal species)
19639952	jadawat	that is what
37562710	jadimap	shut (gate)
19639415	jagadi	soft (of lily seed)
37563359	jagimin	throw in (to water)
19639416	jagirri	soft (of lily seed)
19639885	jainati	strong black tea
19638884	jakim	sack (from job)
19639962	jaldu	that’ll do
19638297	jalimadawuk	passionfruit (plant species)
37562809	jalk	poke around for
19639889	janadi	unsweetened tea
19639498	jandim	speed (in a car)
37562173	janurr	cold in the head
19639607	jaojao	water lily stem
37562646	jari	feel worried
37564044	jarran	that (one)
19640615	jas	for a short while
19636017	je:min	enemy soldiers
19635303	jeinj	change (money)
19634463	jek dongki	donkey (male animal species)
19636016	jemani	enemy (armed forces)
37563570	jidaning	sit : be sitting down
19634869	jididi	quail (bird species)
37561111	jigi	poison snake
37561111	jigi	long one
37561111	jigi	same colour as bandiyan
37561111	jigi	poisonous/dangerous
37561124	jigi	salt water crocodile (dangerous)
37562946	jigi	brown like bandiyan
37563595	jigi	salt water (dangerous)
19634854	jigi aul	owl (barn bird species)
19634855	jigi aul	owl (boobook bird species)
19634856	jigi aul	owl (masked bird species)
37562382	jigi aul	Owl : Barking
19638360	jigi yem	yam (cheeky plant species)
37561178	jigibala	little black ants
37561836	jigibala	bitter (taste)
37561836	jigibala	dangerous or savage (of animals and crocodiles)
37561836	jigibala	dangerous or savage
37561836	jigibala	brackish (water)
19638172	jiginin	be penetrating
19639621	jiginin	be sticking in
37561185	jigiwan	Mottled cup moth caterpillar
37561185	jigiwan	with yellow stings
37562602	jigiwan	caterpiller
37562602	jigiwan	Mottled cup moth
19634795	jikin	chicken (bird species)
19634835	jikinok	hawk (brown goshawk bird species)
19634836	jikinok	hawk (collared sparrowhawk bird species)
37563334	jikinok	hawk : Collared sparrowhawk
37564064	jikinok	hawk : ’kite hawk’
37562167	jingat	echo of engine a fair way off
37562666	jingat	howl (dingo)
37562666	jingat	drone (plane)
37562667	jingat	whimper (of dog)
37563946	jingat	call out (to)
37563946	jingat	wave (with murrji)
19639242	jingating	singing out
19634666	jingginat	bark (of dog)
19639243	jinginat	singing out
19638258	jingulili	blackberry (plant species)
19634462	jini dongki	donkey (female animal species)
19636550	jinjabred boi	gingerbread boy
19636292	jinma	shark (fish species)
27950101	jinuj	tough band of inelastic fibrous tissue that connects a muscle with its bony attachment
19638889	jipa	not very sacred
37563202	jogim	press with hand
37563281	jogim	knead (dough)
19639580	jojpan	star constellation: Orion’s belt and scabbard
19639581	jojpan	the star constellation: Saucepan
19638253	jotmoa	berry (orange plant species)
37562015	jik	cheek (of face)
19636280	jubij	jewfish (fish species)
37561830	juga	lots of taste
19637069	jugabeg blai	bee (native insect species)
19638322	jugalib	tree (Eucalyptus aspera plant species)
19634464	jugong	dugong (animal species)
19634796	jukjuk	chicken (bird species)
19634797	jukjuk	cock (bird species)
19634809	jukjuk	domestic fowl (bird species)
19640199	julugan	banana (wild tree species)
37562043	jululuma	umbilica
19638261	jupi	blackcurrant (plant species)
19638262	jutbi	blackcurrant (plant species)
37562296	juwum	gnaw. bite off
19639457	kaji	Jabiru sound
37563279	kadim	be chopping
19637791	kafu pija	kung-fu movie
19638346	kaiyabam	tree (wild orange plant species)
37561503	kajin	wife’s sister?
37563433	kajin	sister-in-law (wife’s sister)
37563967	kaka	make shit
19638701	kakaji	goanna (reptile species)
19639458	kalini	Jabiru sound
37563066	kamap	come up (of sun)
37563863	kamat	come out (baw-najini)
19640102	kambektaim	time to return
19638361	kangurri	yam (long plant species)
19639459	kanor	Jabiru sound
19635059	kapardi	mid-work break
19638274	karant	currant (plant species)
19635237	kardlaba	card-lover
19634803	karrakkarrak	comorant
19634803	karrakkarrak	comorant (bird species)
19634808	karrakkarrak	darter (bird species)
19638324	karrijong tri	tree (kurrajong plant species)
19640204	kasgara	cascara tree species
19638321	kastad epul	tree (custard apple plant species)
37561185	katapila	Mottled cup moth caterpillar
37561185	katapila	with yellow stings
37562602	katapila	caterpiller
37562602	katapila	Mottled cup moth
19638617	kayay	be randy
37563689	keib	hole in tree
19634476	keingurru	kangaroo (animal species)
19634495	keingurru	wallaby (animal species)
27904140	keingurru	marsupial
19638266	keipok tri	bush (kapok plant species)
37561167	kemp	antlion’s pit
19634454	kemul	camel (animal species)
19639460	kerluk	Jabiru sound
19640213	kerosinwud tri	hakea (tree species)
19640216	kerosinwud tri	kerosene-wood (tree species)
37563347	kerosinwud tri	rough barked Hakea
19636271	ketfis	catfish (fish species)
19636289	ketfis	saratoda
19636289	ketfis	saratoda (fish species)
19636291	ketfis	Scleropages jardini
19636291	ketfis	Scleropages jardini (fish species)
37562487	kidni	from stone country
37564108	kikim	kick (someone/something)
37562337	kilim	hit or kill
37562337	kilim	(with spear, gun, hand, etc.)
37563133	kilim	hit (beat time)
37563244	kilim	slap or thump legs
19634308	kilinpleis	abbattoir
19638717	kingbraun	snake (king brown reptile species)
19634824	kingfisa	flycatcher (restless bird species)
19634838	kingfisa	kingfisher (bird species)
37562858	kingfisa	Kingfisher : Forest
19636696	kipum la binji	bear grudge
37561752	klei	ordinary clay
37561752	klei	not red or white
37563451	klei	ordinary (not red or white)
37561793	klinwan	no dust
37564038	klinwan	without dust
19639461	klok	Jabiru sound
37562620	klosim	shut (a door)
19636855	koiyokoiyo	hey look
19634859	koki	parrot (bird species)
19638320	kokwud tri	tree (corkwood plant species)
37563316	kol	hot or cold
19635941	koltaim	dry seaon
37563657	kolum	sing a corroboree
19635562	krabri	corroborree
37562288	krai	scream (parrot?)
19635608	kraulinbalawei	crawlingly
19636275	kreb	crab (fish species)
19636276	kreibij	crayfish (fish species)
19636297	kreibij	yabby (fish species)
37562734	krein	? and White-faced
19634801	krela	cockatoo (sulphur-crested bird species)
19634802	krela	cockatoo (white bird species)
19634804	krela	corella (bird species)
37562244	krela	White or Sulphur-Crested
27873491	kro	any bird of the genus ''Corvus''
19638689	krokadail	crocodile (reptile species)
37561653	krol	go on hands and knees
37562975	krosim	cross over (something)
19634788	kudarrgu	brolga (bird species)
19634842	kukubarra	kookaburra (bird species)
37563185	kukum	cook (general)
37562681	kulaman	make (a coolamon or spear)
37563015	kulaman	coolimon
37563015	kulaman	canoe-shaped
37563087	kulaman	cooliman
37563087	kulaman	different sort
37563427	kulaman	for soaking yams (yanbarr)
37563427	kulaman	for soaking yams
19638319	kuliba tri	tree (coolibah plant species)
19638259	kumirr	blackberry (plant species)
19638316	kundarr	tree (black plum plant species)
19638345	kuninyarra	tree (wild fig plant species)
19639462	kut	Jabiru sound
19634840	kuwi	koel (bird species)
19638277	kuyiya	diarrhoea treatment
19638277	kuyiya	diarrhoea treatment (plant species)
37561782	kwaitbala	slow(ly)
37561782	kwaitbala	soft(ly)
37561782	kwaitbala	weak(ly)
37561782	kwaitbala	quiet(ly)
19638716	kwaitsneik	snake (harmless reptile species)
19634870	kweil	quail (bird species)
19634843	labinjaga	kookaburra (blue-winged bird species)
37564235	labinjaga	Blue-winged
19639816	laidim	switch on (light)
19640272	laidim	turn on (light)
19638291	laim	lime (plant species)
37562387	lain	fishing line or hook
37562486	lait	forewood
19638697	laitining	gecko (reptile species)
37561638	laitwan	(red) flying fox
19634481	laiyan	lion (animal species)
19639488	lama	shovel-nosed spear
19639489	lama spiya	shovel-nosed spear
37562959	lambarra	father-in-law - husband’s father
19634829	languna	goose (bird species)
37562962	languna	Magpie or Pied
37564357	languna	Magpie or Pied Goose
19638325	lanswud	tree (lancewood plant species)
19637270	las it	last hit
37561143	laus	on hair or body
37561181	laus	also flea
19634499	lebden wolabi	wallaby (nail-tailed animal species)
19634500	lebden wolabi	wallaby (Onychogalea unguifer animal species)
37561957	lebden wolabi	bridle nail tailed wallaby
37562280	lebden wolabi	bridle nail tailed
37562004	leg	shin or lower leg
37563385	leg	root or trunk of tree
37564027	leg	leg : calf of leg
19638326	lenswud	tree (lancewood plant species)
19637302	lid	lead position
19636700	lidimap	guide up
19638606	liklik	very light rain
19637425	lilbit	little (amount)
19639350	lilbit	small (amount)
37561780	lilbit	a little (bit)
37561887	lilgel	girl child
37561891	lilgel	about 4 yrs old
37562152	lilgel	about 4 years old
19638290	lili	lily (water plant species)
37562434	lili	lily plant
37564015	lili	waterlily root
19637310	lililib	water lily leaf
