meaning	kriol	english_gloss
37562198	bigwan raunwan frog	big round
37562125	wankain freshwada tadul	Elseya dentata
37561110	fetwan lijad	plump skink
37562890	fetwan lijad	plumpg lizard (skink)
37562890	fetwan lijad	plumpg lizard
37561111	kala olisem bandiyan	poison snake
37561111	kala olisem bandiyan	long one
37561111	kala olisem bandiyan	same colour as bandiyan
37561111	kala olisem bandiyan	poisonous/dangerous
37562946	kala olisem bandiyan	brown like bandiyan
37561114	burdiwan buludang	pretty blue tongue lizard sp.
37562130	burdiwan buludang	oretty blue tongue lizard sp.
37563073	burdiwan buludang	blue tongue - a pretty sp.
37561117	wankain buludang	Cunninham’s skink
37563064	wankain buludang	lizard : Cunningham’s skink
37561120	straipidwan sneik	striped snake (poisonous)
37561120	straipidwan sneik	striped snake
37562278	wipsneik	snake - whip snake (black)
37561124	solwada aligeda	salt water crocodile (dangerous)
37562134	sen gwena	Varanus gouldi
37563581	sen gwena	goanna - sand goanna
37561126	olmen gwena	old man goanna
37563576	olmen gwena	goanna - old man goanna
37561126	bigwan	old man goanna
37561387	bigwan	big gorge
37561622	bigwan	solid one
37561622	bigwan	hard (of wind)
37561628	bigwan	great (figurative sense)
37561773	bigwan	big wide (place)
37561773	bigwan	big wide
37561773	bigwan	big voice
37561817	bigwan	plump (cheeks, etc.)
37561817	bigwan	swollen (from hitting etc.)
37561828	bigwan	big bodied
37562232	bigwan	big (man)
37562619	bigwan	fat (of people)
37563026	bigwan	plump (of cheeks, etc.)
37563576	bigwan	goanna - old man goanna
37563920	bigwan	wide place
37561127	kukabarra shel	spiral shell from spring (Kookaburra shell Ch)
37563652	kukabarra shel	from spring
37561129	lilwan lilwan lijad	very small lizard
37561134	defada	marks on back
37561133	aligeda teil	crocodile tail
37561134	shotwan fetwan	marks on back
37561137	lil poisin sneik	litte poison snake
37561137	lil poisin sneik	smaller than ’bandiyan (smaller head)
37561137	lil poisin sneik	smaller than ’bandiyan
37562391	lil poisin sneik	small poisonous snake
37561137	laik bandiyan	litte poison snake
37561137	laik bandiyan	smaller than ’bandiyan (smaller head)
37561137	laik bandiyan	smaller than ’bandiyan
37562391	laik bandiyan	small poisonous snake
37561138	solwada tadul	saltwater turtle
37561138	solwada tadul	with flat hands
37561138	got fletwan bingga	saltwater turtle
37561138	got fletwan bingga	with flat hands
37562430	got fletwan bingga	with flat hands/feet
37561204	jugabeg	Native honey bee
37562493	jugabeg	honeycomb of native honey bee
37561141	kemp bla insek	people’s camp; nes
37561141	kemp bla insek	antlion’s hole
37563183	kemp bla insek	camp (of people)
37563183	kemp bla insek	nest (of birds, insects)
37561141	entlayon hol	people’s camp; nes
37561141	entlayon hol	antlion’s hole
37563183	entlayon hol	camp (of people)
37563183	entlayon hol	nest (of birds, insects)
37563911	fletwan ston	flat; antbed
37561146	fetwan flai	fat flying insect
37562535	fetwan flai	fat flying sp.
37561150	debil-debil	children’s name for Preying Mantis
37561233	debil-debil	guilty man
37561279	debil-debil	Satan or ghost
37561153	wankain insek	species of insect
37561205	wankain insek	insect?
37561205	wankain insek	two horns
37561205	wankain insek	mouth on head
37563357	wankain insek	insect sp.
37561156	long ai jugabeg	’boy’ sugarbag or honeycomb
37564020	long ai jugabeg	sugarbag : ’boy sugarbag
37561157	bigwan blekwan ent	big black ant
37564104	bigwan blekwan ent	big black
37561160	wankain kokroj	Metallic cockroach
37561161	bigbala bi	type of big bee
37564218	bigbala bi	big sp.
37561164	smolwan	also red dragonfly
37561780	smolwan	a little (bit)
37562704	smolwan	red dragonfly
37563419	smolwan	small stone (agate)
37563606	smolwan	Duck : Wood Duck
37561167	hol bla entlayon	antlion’s pit
37561169	lilwan bidul	small beetle
37561171	boi jugabeg	’boy’ sugarbag
37561171	boi jugabeg	with long compartments
37561171	long ai	’boy’ sugarbag
37561171	long ai	with long compartments
37561173	bigwan bluwan ent	big blue ant.
37561178	lilwan blekwan ent	little black ants
37561180	bigwan blekwan igal	big black
37561180	bigwan blekwan igal	kills anything
37561183	kreb la bilibong	billabong crab
37561581	kreb la bilibong	sp. of crab from billabong
37563141	kreb la bilibong	crab from billabong
37563148	kreb la bilibong	crab sp.from billagong
37561185	grinwan	Mottled cup moth caterpillar
37561185	grinwan	with yellow stings
37561846	grinwan	tea colour
37561846	grinwan	dirtyish
37561846	grinwan	off white as vp blacken
37562384	grinwan	parrot : green parrot
37562602	grinwan	caterpiller
37562602	grinwan	Mottled cup moth
37561186	skin bla insek	shell of insect
37561187	wankain lokus	sort of grey
37561187	sikada	sort of grey
37561189	krismas bidul	Christmas beetle
37562609	krismas bidul	beetle : Christmas beetle
37561212	wankain bidul	fat beetle-like bees
37561212	wankain bidul	red dragonfly
37561212	wankain bidul	Mud-dauber wasp
37562256	wankain bidul	beetle : jewel beetle
37562564	wankain bidul	fat beetle-like
37561194	lilwan blekwan bidul	little black beetle
37561194	lilwan blekwan bidul	black wood beetle
37562672	lilwan blekwan bidul	beetle : black wood beetle
37561196	wankain badaflai	mottled cup moth
37562687	wankain badaflai	mottled cup
37561199	gel jugabeg	’girl’ sugarbag
37561199	gel jugabeg	i.e. short segments
37563616	gel jugabeg	honeycomb : ’girl sugarbag’
37563616	gel jugabeg	ie short segments
37561204	jugabeg bi	Native honey bee
37562493	jugabeg bi	honeycomb of native honey bee
37562520	faiyaflai	flirefly
37562520	im lait lait	flirefly
37561210	jugabeg flai	both Italian and native
37562537	jugabeg flai	Italian and native; flies
37561210	inglijwan en neitib	both Italian and native
37562537	inglijwan en neitib	Italian and native; flies
37561211	bigwan flai	Stalk eyed Ortalid
37561212	bigwan kain bi	fat beetle-like bees
37561212	bigwan kain bi	red dragonfly
37561212	bigwan kain bi	Mud-dauber wasp
37562564	bigwan kain bi	fat beetle-like
37561219	Alawa linggo	Alawa tribe or language
37561219	Alawa pipul	Alawa tribe or language
37563702	Alawa pipul	cf galawa
37563702	Alawa pipul	warliburru
37561220	imin meikim song	singer of songs
37563712	imin meikim song	song maker
37561245	driman	dreamng
37561225	Gunabibi	Kunapipi
37561232	letastik	letter stick
37561234	heviwan Alawa	purported ancestral language from which Alawa derives
37563405	heviwan Alawa	Alawa’s purported ancestral language
37561829	nyugurr	to be hunted away from
37561239	dijeridu	didjeridu
37561242	gos	spirit of dead
37561242	gos	our spirit
37561279	gos	Satan or ghost
37561241	klepstik	clapsticks
37561241	klepstik	beating sticks
37561241	bla sing	clapsticks
37561241	bla sing	beating sticks
37561244	Yaburadurruwa	Yaburadurruwa ceremony
37561247	dens bla olgomen	woman’s dance
37561247	dens bla olgomen	jararda ceremony
37562774	dens bla olgomen	women’s dance
37561250	Jingulu	Tjingili tribe or language
37561267	Jingulu	Tjingili
37561260	Gunibibi	Kunapipi
37561267	Jingili	Tjingili
37561277	Yanyuwa	Yanyuwa (Anyula)
37561278	Yangman	Yangman (language, people)
37561278	Yangman	Yangman
37561281	seikrit serramoni graun	secret corroboree ground
37562435	seikrit serramoni graun	corroboree ground
37561354	bigwan sta	Sirius (star)
37561355	opin kantri	bald (of head)
37561355	bolwan	bald (of head)
37561360	rokples	rock outcrops
37561361	burdibala ston	stone for axe head
37563911	entbed	flat; antbed
37561371	watafol	waterfall (big)
37563353	watafol	waterfall (big).’
37561373	brabli hotbala spring	boiling hot spring
37561374	Jojpen	Orion’s belt and sword scabbard (the Saucepan)
37561381	wet graun	soaked ground
37561381	jok	soaked ground
37561400	wankain ston	rock type
37561407	beingk bla riba	side of hill
37563223	ashis	ashes (see also coals)
37561410	jimok burrum faya	smoke from fire
37561413	dip graun	sleeping hollow
37561414	sloping ston	ordinary stone
37561414	sloping ston	sloping stone
37563000	sloping ston	ordinary or sloping
37561415	blekwan sengraun	mineral sand (black,heavy)
37563009	blekwan sengraun	mineral sand (black, heavy)
37561418	barngras kantri	burnt country
37561420	namo garrim ren	alto-cumulus or cirrus clouds
37561421	sofwan graun	soft ground with hard crust
37561421	hadwan antap	soft ground with hard crust
37561428	fladwota	moving water
37561428	wota la riba	moving water
37561429	braba redwan ston	really red stone
37561432	difren blekwan ston	different black stone
37563104	difren blekwan ston	different black type
37562224	haiwan beingk	high; cliff
37561440	bigbala hil	big high mountain or hill
37562235	bigbala hil	big and high; big hill
37561846	dakbala	tea colour
37561846	dakbala	dirtyish
37561846	dakbala	off white as vp blacken
37561450	sauthwin	south wind in winter
37563647	sauthwin	wind from south in winter
37561450	kolweja taim	south wind in winter
37563647	kolweja taim	wind from south in winter
37561453	warzidila	constellation of the Pointers and alpha and beta Crucis (the two brightest stars of the Southern Cross)
37561453	hukwan bumereing	constellation of the Pointers and alpha and beta Crucis (the two brightest stars of the Southern Cross)
37561456	waiwin	whirlygig
37561456	wili-wili	whirlygig
37561458	renwota	fresh rain water
37561458	blekwan wota	fresh rain water
37561460	klaud garrim ren	rain bearing cloud
37561460	klaud garrim ren	high stratus
37561465	dubala sta	two stars
37562399	mami en dadi	parents (mother and father pair)
37561470	tubala	mother’s brother and his sister’s son pair
37562399	tubala	parents (mother and father pair)
37562400	tubala	uncle and nephew (cross-uncle)
37562400	tubala	uncle and nephew
37561472	dota	man’s daughter
37561472	dota	woman’s brother’s daughter
37561526	dota	man’s child
37561526	dota	woman’s brother’s child
37562470	dota	child of man or of woman’s brother
37563722	dota	daughter of man
37563722	dota	daughter of brother of woman
37561477	grendota	woman’s daughter’s daughter
37561527	grendota	woman’s daughter’s child
37562500	grendota	woman’s daugher’s
37561481	main kantriman olgomen	my (female) relation
37561481	main kantriman olgomen	my relation
37561481	main kantriman olgomen	fellow counryman
37563735	main kantriman olgomen	relation of mine (female)
37563735	main kantriman olgomen	relation of mine
37563735	main kantriman olgomen	my fellow countrywoman
37561483	anti	father’s (older) sister
37563820	anti	aunt (father’s [older] sister, mother’s brother’s wife)
37561522	angkul	mother’s brother or sister
37562220	angkul	uncle or aunt - sibling of mother
37563494	angkul	uncle - mother’s brother
37563963	abuji	grandfather - mother’s father
37563963	ngabuji	grandfather - mother’s father
37561492	banjiman	wife’s or husband’s sisters and brothers
37564077	banjiman	spouse’s sisters and brothers
37564152	gaga	grandmother - mother’s mother
37561497	abija	father’s mother (mother’s father?)
37562693	abija	grandfather - father’s mother
37561505	tubala abuji	cross grandparent and grandchild
37563512	tubala abuji	grandparent and grandchild pair
37561509	asbin o waif	spouse (husband or wife)
37563071	asbin o waif	spouse (husbane or wife)
37561513	bla im dadi	his father (her father?)
37562468	bla im dadi	father of a third person or persons
37561517	main kantriman	my relation
37561517	main kantriman	fellow countryperson
37562147	main kantriman	relation of mine
37562147	main kantriman	my fellow countryperson
37562194	boi bla sista	nephew - siser’s son
37561520	dadi bla ngamuri	paternal great grandparent
37562196	dadi bla ngamuri	great grandparent in father’s line
37561521	tubala kasin	two cousins
37562208	tubala kasin	cousin pair
37561533	enikain fish	any type (generic)
37561533	enikain fish	any type
37561534	wankain bonifish	bony species of fish
37563753	wankain bonifish	bony kind
37561537	nelfish	toothless catfish
37561547	nelfish	nailfish
37561547	nelfish	Eel-tailed catfish
37563806	nelfish	catfish - toothless
37564061	nelfish	Neosilurus sp.
37561538	lilwan yangwan barramandi	small young barramundi
37563833	lilwan yangwan barramandi	small young one
37561570	greibij	crayfish sp. short and black
37563441	greibij	crayfish sp. : short and black
37561541	lilwan lilwan fish	Strawman (fish)
37561541	lilwan lilwan fish	and/or Blue eyes (2 sp.)
37561541	dumaj bon	Strawman (fish)
37561541	dumaj bon	and/or Blue eyes (2 sp.)
37561542	wankain fish	Pennyfish
37561543	wankain fish	fish sp. (or bird?)
37561543	wankain fish	fish sp.
37561549	wankain fish	fish sp. like jewfish
37561551	wankain fish	spangled perch
37561578	wankain fish	Gold line rainbow fish
37563085	wankain fish	fish sp. : Gold line rainbow fish
37563308	wankain fish	fish sp.: Pennyfish
37564083	wankain fish	like jewfish
37561542	garrim blekwan mak	Pennyfish
37563308	garrim blekwan mak	fish sp.: Pennyfish
37561544	bebi rok kod	baby rock cod
37563948	bebi rok kod	cod : sleepy or baby rock cod
37561544	slipikod	baby rock cod
37563948	slipikod	cod : sleepy or baby rock cod
37561545	fish fin	pectoral fish fin
37561548	lilwan ketfish	Berney’s catfish
37564095	lilwan ketfish	catfish : Berney’s
37561549	laik jufish	fish sp. like jewfish
37564083	laik jufish	fish sp.
37564083	laik jufish	like jewfish
37561550	maitbi madkod	rock cod (poss. mud cod?)
37564121	maitbi madkod	cod : rock (poss. mud cod)
37564121	maitbi madkod	cod : rock
37564170	bonfish	bream : bony
37564175	bonfish	fish sp. : Bone fish
37561553	longwan kain fish	long fish sp.
37564174	longwan kain fish	fish : a long sp.
37561557	longwan fish	checkered rainbow fish
37562733	longwan fish	fish : checkered rainbow fish
37561557	laik guligi	checkered rainbow fish
37562733	laik guligi	fish : checkered rainbow fish
37561558	nel bla fish	also pectoral fin
37561558	wiska bla fish	also pectoral fin
37561560	ketfish	like barramundi
37561560	laik barramandi	like barramundi
37561562	wankain marlabangu	sp. of marlabangu
37561562	wankain marlabangu	finger shellfish
37562812	wankain marlabangu	shellfish : finger shellfish
37562812	wankain marlabangu	sp. of shellfish
37561563	tel	incl. of crayfish
37561566	biginini bla yimayirri	young barramundi
37561566	jalgifish	young barramundi
37561569	bonpat bla fish	bone part of fish
37561574	smolwan greibij	small crayfish sp.
37563556	smolwan greibij	crayfish : small sp.
37561575	blekwan kreb	black crab
37561575	blekwan kreb	red crayfish
37563050	blekwan kreb	crab : black; red crayfish
37561575	redwan greibij	black crab
37561575	redwan greibij	red crayfish
37563050	redwan greibij	crab : black; red crayfish
37561579	wankian shel	ear shell type of shell
37561579	wankian shel	round shells
37563076	wankian shel	shell : ear shell type
37561580	bigwan rok kod	big rock cod sp.
37563131	bigwan rok kod	cod : big rock cod sp.
37561582	bigwan ketfish	big sp. of catfish with no fin at top
37563159	bigwan ketfish	catfish : big sp. with no fin at top
37561585	raifulfish	rifle fish
37561591	solwada shelifish	salt water shellfish
37562539	solwada shelifish	shellfish : saltwater
37561592	bigwan greibij	big crayfish sp.
37562566	bigwan greibij	crayfish : big sp.
37561596	longtom fish	Long tom fish
37562448	longtom fish	fish : long tom
37561597	smol shotwan fish	small short fish
37562401	smol shotwan fish	small short sp.
37563704	prabli	proper(ly)
37563704	prabli	real(ly)
37561602	bolwan hed	bald (head)
37561602	bolwan gabarra	bald (head)
37561605	waydwan	wide (river) - all the Roper River
37563810	waydwan	wide (of river)
37563772	yangwan	of child or animals
37563953	yangwan	waterlily stalk
37561607	bajdam	also of time: first time
37561608	lilbit waitwan	pale grey
37561846	lilbit waitwan	tea colour
37561846	lilbit waitwan	dirtyish
37561846	lilbit waitwan	off white as vp blacken
37563836	lilbit waitwan	grey (pale)
37563837	lilbit waitwan	white (off white)
37561612	lilbit redwan	chestnut coloured (hair)
37561614	bla spiya	of spears
37561614	bla spiya	scorpion tail etc.
37561614	skopyon tel	of spears
37561614	skopyon tel	scorpion tail etc.
37561615	olde lukabat gula	be constantly angry
37561619	detibala	of water only
37561619	bla woda	of water only
37561620	nomo balgin	not bitter
37561621	kan tok maj	can’t talk much
37561621	kan tok maj	doesn’t talk much
37562177	kan tok maj	talkative - not talkative
37561622	garrim munda	solid one
37561622	garrim munda	hard (of wind)
37561963	spot spot	spotted one; ring tailed possum
37561795	blandibala	full one (of ground fruit and moon?)
37561795	blandibala	full one
37561795	blandibala	big (supply)
37561628	impotanwan	great (figurative sense)
37561632	hadbala	strong(ly)
37561632	hadbala	loud(ly)
37561635	lilwan dog	tame dog
37563698	lilwan dog	little or tame
37561636	waildog	wild dog of tableland country
37564212	waildog	dog : wild
37564212	waildog	of tableland country
37561638	lilbit lait braun	(red) flying fox
37561642	binji - ajad	outside of stomach
37564217	binji - ajad	stomach (outside)
37561642	ebribit	outside of stomach
37564217	ebribit	stomach (outside)
37561653	wok la ni	go on hands and knees
37561654	irrim la fut	hear someone coming up
37561654	irrimbat fut	hear someone coming up
37561655	bulumwe	pull away from another person
37561655	bulimat	pull away from another person
37561656	skatidim	scatter (it)
37563020	skatidim	scatter something
37561656	skatidimat	scatter (it)
37561658	abum spel	have a rest or a spell (break)
37562362	abum spel	have a rest or spell (break)
37561660	jingat yagay	call ’ouch’
37562367	jingat yagay	to call out or say
37561666	dijan mob	this lot
37561669	la jat ples	to over there
37561670	burrum lodan	from lower down
37561671	la tharran	to that person (man)
37561671	la tharran	to that person
37561672	la tharran	to that (woman)
37563747	la tharran	there : to that woman
37563994	la tharran	that : to that person (man)
37563724	abdajat	there : from there
37561731	rokpleis	rock outcrops
37564112	moning sta	evening; Venus
37561746	jimok brom faya	smoke from fire
37561750	namo garrim rein	alto-cumulus or cirrus clouds
37563466	namo garrim rein	alto-cumulus or cirrus
37561753	woda la riba	moving water
37561754	prapa redwan ston	really red stone
37563554	prapa redwan ston	really red
37561762	blekwan woda	fresh rain water
37561763	klaud garrim rein	rain bearing cloud
37563884	nyumun	moon (new)
37561771	babard	species of bird
37561771	wan kain	species of bird
37561772	fletwan	flat (stone)
37561826	fletwan	type of rock which is flat and round
37562581	fletwan	rock type
37562581	fletwan	flat and round
37563912	fletwan	flat (rock)
37561773	waidwan	big wide (place)
37561773	waidwan	big wide
37561773	waidwan	big voice
37561783	waidwan	wide (river) - all the Roper River
37563920	waidwan	wide place
37561775	netib ket	native cat (totem)
37561830	gadim teist	lots of taste
37561795	dumeni iya	full one (of ground fruit and moon?)
37561795	dumeni iya	full one
37561795	dumeni iya	big (supply)
37561795	o bigwan	full one (of ground fruit and moon?)
37561795	o bigwan	full one
37561795	o bigwan	big (supply)
37561796	rili wetwan	really wet
37561800	heviwan	low (of voice?)
37561846	dardibala	tea colour
37561846	dardibala	dirtyish
37561846	dardibala	off white as vp blacken
37561806	gadim heya	furry tailed
37561806	gadim heya	shady (of bushes)
37561806	gadim sheid	furry tailed
37561806	gadim sheid	shady (of bushes)
37561806	sheidi tri	furry tailed
37561806	sheidi tri	shady (of bushes)
37562785	anli lilbit	only a little bit
37561813	fetwan	of animals
37561817	fetwan	plump (cheeks, etc.)
37561817	fetwan	swollen (from hitting etc.)
37561828	fetwan	big bodied
37562619	fetwan	fat (of people)
37562908	fetwan	fat (of animals)
37563026	fetwan	plump (of cheeks, etc.)
37561813	bla enimul	of animals
37562908	bla enimul	fat (of animals)
37561815	jikiwan	good fighter
37562970	jikiwan	kangaroo : female plain kangaroo
37561815	gel plein keinggurru	good fighter
37562970	gel plein keinggurru	kangaroo : female plain kangaroo
37561816	sketid	scattered (T of curly hair)
37561817	jwolap	plump (cheeks, etc.)
37561817	jwolap	swollen (from hitting etc.)
37563026	jwolap	plump (of cheeks, etc.)
37561817	imin jwelap	plump (cheeks, etc.)
37561817	imin jwelap	swollen (from hitting etc.)
37563026	imin jwelap	plump (of cheeks, etc.)
37561822	lembala	can’t walk at all
37561822	lembala	feeling crook
37561822	nomo gadim ngaridi	can’t walk at all
37561822	nomo gadim ngaridi	feeling crook
37561822	munda	can’t walk at all
37561822	munda	feeling crook
37561822	filim nogud	can’t walk at all
37561822	filim nogud	feeling crook
37561823	laik wijidi	as of witchetty grub
37561824	skopyon teil	of spears
37561824	skopyon teil	scorpion tail etc.
37561826	samkain rok	type of rock which is flat and round
37562581	samkain rok	rock type
37562581	samkain rok	flat and round
37561831	blantwan	of axehead - comes out as soon as you chop a tree
37562636	blantwan	slack (loose, of axehead) slack
37562636	blantwan	slack slack
37562636	blantwan	of axehead -comes out as soon as you chopp a tree
37561828	gadim bigwan bodi	big bodied
37562619	gadim bigwan bodi	fat (of people)
37561829	nomo ledim tajim	to be hunted away from
37561829	tabu	to be hunted away from
37561830	shuga	lots of taste
37561834	gadim munda	solid one
37561834	gadim munda	hard (of wind)
37562232	gadim munda	big (man)
37561836	jigibala teist	bitter (taste)
37561836	jigibala teist	dangerous or savage (of animals and crocodiles)
37561836	jigibala teist	dangerous or savage
37561836	jigibala teist	brackish (water)
37561846	lilbit blekwan	tea colour
37561846	lilbit blekwan	dirtyish
37561846	lilbit blekwan	off white as vp blacken
37561846	go dakbala	tea colour
37561846	go dakbala	dirtyish
37561846	go dakbala	off white as vp blacken
37561846	nomo klinwan	tea colour
37561846	nomo klinwan	dirtyish
37561846	nomo klinwan	off white as vp blacken
37562546	nomo sabi	know not
37561863	sakamsisin	fully circumcised young man or youth
37564109	sakamsisin	circumcised youth
37561862	neshan	nation(s)
37561863	yangman bin kadim	fully circumcised young man or youth
37564109	yangman bin kadim	circumcised youth
37561864	bigeswan gel	prepuberty girl
37563721	bigeswan gel	just prepuberty
37561870	gudwan hanta	good hunter
37561885	bla menija waif	manager’s wife
37561886	bla menija waif	wife of manager
37561893	nyuwan bebi	new baby
37561899	yanggel garrim bebi	young woman who has a child
37563568	yanggel garrim bebi	young who has a child
37562324	big pipul	grownups
37561914	bigwan gelwan keinggurru	female antelopine kangaroo
37563730	bigwan gelwan keinggurru	female antelopine
37561915	gelwan keinggurru	female kangaroo
37561938	gelwan keinggurru	or small stone kangaroo
37562969	gelwan keinggurru	female or small stone
37561916	bigwan dog	greyhound dog
37561916	bigwan dog	like greyhound
37561920	neitib ket	native cat (totem)
37564102	beibi nenigout	baby one
37561932	boiwan plein keinggurru	male plain kangaroo
37562752	boiwan plein keinggurru	male plain
37561936	wankain wolabi	brown hare-wallaby
37562828	wankain wolabi	wallaby : brown hare-wallaby
37561937	bogubain	echidna (porcupine)
37561939	smolwan ston keinggurru	small stone kangaroo
37561939	smolwan ston keinggurru	small euro
37561942	neil bla bogupain	echidna quills
37561942	neil bla bogupain	spike(s) of porcupine
37561942	neil bla bogupain	spike of porcupine
37561943	bogupain	echidna (porcupine)
37561943	gadi neil	echidna (porcupine)
37561954	gelwan redwan keinggurru	female red kangaroo
37562190	gelwan redwan keinggurru	female red
37561959	bigwan blanbo	big flying fox
37561962	posam la rok	prob. brush tailed possum
37563610	posam la rok	brush tailed (prob.)
37563610	posam la rok	brush tailed
37561963	meit bla wanarr	spotted one; ring tailed possum
37561966	smolwan la keib	small flying fox
37561966	smolwan la keib	lives in cave
37561969	ston kantri bogupain	stone country porcupine
37561970	wolabi o bendigut	wallaby or bandicoot
37561972	plein keinggurru	plain kangaroo (big)
37561972	plein keinggurru	plain kangaroo
37561972	plein keinggurru	red kangaroo (male)
37561972	plein keinggurru	Antelopine kangaroo
37561972	plein keinggurru	Macropus antelopinus
37562359	plein keinggurru	antelopine
37562359	plein keinggurru	red male kangaroo
37562359	plein keinggurru	"""plain kangaroo"""
37561977	weks bla irriwul	wax or discharge from ear
37563755	weks bla irriwul	ear discharge
37563231	heya bla bodi	hair on body
37562000	trek bla fut	track of foot
37563301	trek bla fut	track of foot print
37562004	botampat	shin or lower leg
37563980	bekpat bla ni	knee : back of
37562028	sowa	open sore
37562100	sowa	big boil
37562719	sowa	boil (a boil)
37562719	sowa	sore (open sore)
37562062	am	arm (all)
37563547	am	branch of tree or shrub
37562042	fletwan la botam	back part of pelvis
37562895	fletwan la botam	black part
37562045	telbon	hip bone : coccyx
37562048	spredimat bingga	spread hand
37563099	binga	index (pointer)
37562173	hedkol	cold in the head
37562487	bleda	from stone country
37562112	milk snek	prob. snake lizard Lygosoma verreauxi
37562116	wankain snek	lit. no hair on body
37562122	wankain snek	snake sp. all colours
37562121	poisin snek	poison snake
37562121	poisin snek	tree sp for firestick
37562121	poisin snek	also snake sp.
37562128	poisin snek	long one
37562128	poisin snek	same colour as bandiyan
37562128	poisin snek	poisonous/dangerous
37562123	shot nek dadul	tortoise seen at Old St Vidgeon’s
37562123	shot nek dadul	yellow stripe
37562123	shot nek dadul	short neck
37562123	shot nek dadul	Emydura australis or E. sp.
37562131	straipidwan snek	striped snake (poisonous)
37562131	straipidwan snek	striped snake
37562133	trisnek	yellow tree snake
37562139	aligeda tel	crocodile tail
37562141	snek	any snake (generic)
37562141	snek	any snake
37562142	lil poisin snek	litte poison snake
37562142	lil poisin snek	smaller than ’bandiyan (smaller head)
37562142	lil poisin snek	smaller than ’bandiyan
37562146	gadi smel	have a smell or odour
37562162	wid la woda	reeds in water
37562163	kamap bla bowin	swim up
37562163	kamap bla bowin	go up to breathe
37562464	wankain gamtri	Eucalypt sp.
37562485	wankain gamtri	eucalypt sp.
37563542	wankain gamtri	white bark tree
37562182	meikim nois	noise : make a noise
37562666	meikim nois	howl (dingo)
37562666	meikim nois	drone (plane)
37562187	raunwan wumara	round type like spear
37562187	raunwan laik spiya	round type like spear
37562193	hol la wadi	hole : have a hole (of timber). YY
37562205	doa	door (mouth).
37562312	doa	money notes
37562209	pokumat tang	stick tongue out
37562213	goran la sampleis	go round something
37562214	goran la sambodi	go round to someone
37562216	redlili	waterlily : Lotus lily
37562219	luk biyain la	look round side of and up
37562221	wailmelin	’wild sugar’
37562223	wankain sheiditri	shady tree
37562236	meigim hikap	hiccup : cause to
37562242	get seibd	be; be built up
37562250	intit	isn’t it?
37562657	intit	isn’t it? (tag question)
37562254	deigim la im	get someone to come
37562254	gibit la im	get someone to come
37562260	red hot ston	red hot (stone)
37562261	dongki singat	bray (of donkey)
37562272	mait jwalorrum	swallo up
37562814	wisling dak	Grass Whistling
37564264	wisling dak	Grass Whistling duck
37562281	faiya laitim	smoke (of fire)
37562282	laitim faiya	light (a fire)
37562282	laitim faiya	make it burn
37562283	kilim fish	get fish
37562283	godan bla fish	get fish
37562286	injin rorring	sound of engine coming
37562286	misgida singat	sound of engine coming
37562287	meigim ardal	make stone oven
37562288	singat brabli adbala	scream (parrot?)
37562292	pleibat la woda	play (in water)
37562293	digim graun	dig ground
37562293	digim graun	make stone oven
37562293	meigim ston aben	dig ground
37562293	meigim ston aben	make stone oven
37562302	meigim samjing sidan	sit something down
37562308	fraitin bla samting	frightened of
37562312	peipabak tri	money notes
37562686	wankain tri	tree sp. with big leaf
37563513	wankain tri	Grevillea sp.
37562382	wankain	Owl : Barking
37562578	wankain	Large Pied (Large Pied? Cormorant?)
37562578	wankain	Large Pied
37562858	wankain	Kingfisher : Forest
37563237	wankain	grass : three kinds
37563531	wankain	Dove : Bar-shouldered
37563579	wankain	plant species with round leaf
37563697	wankain	plant/tree sp.
37563697	wankain	with big leaf
37564280	wankain	Masked Plover
37564062	libum biyain	pass by something
37562329	wail kasaba	Wild Cassava
37562333	wankain daga	like marble
37563224	wankain daga	fruit sp.
37563224	wankain daga	with taste like apricot
37562334	wodawid	on top of water
37562344	goran la seremoni	go round in corroboree
37562345	go silip	sleep : go to sleep
37562353	aligeida teil	crocodile tail
37562363	wankain pamtri	palm sp.
37562365	wailkokanat	wild coconut
37562384	dakgrin	parrot : green parrot
37562396	daga la graun	food in ground
37562403	naja dubala	another two
37562404	hipdap	be heaped up
37562408	meigim strongwan	to make
37562503	wankain be:d	Grey-crowned
37562736	wankain be:d	and White-gapted
37562860	wankain be:d	lark : Rufous Song-lark (or sp. of duck?)
37562885	wankain be:d	Swallow : White-breasted Wood Swallow
37562920	wankain be:d	Triller : White-winged
37563197	wankain be:d	Pheasant : Swamp Pheasant
37563208	wankain be:d	Greycrowned
37563906	wankain be:d	or Rainbow bird
37563908	wankain be:d	plovers etc.
37563930	wankain be:d	Plover : Banded
37564053	wankain be:d	Red-tailed
37564107	wankain be:d	Black-faced Wood
37564126	wankain be:d	Lark : Brown Song-Lark
37564135	wankain be:d	bird : White-breasted Whistler and White-winged Sitella
37564227	wankain be:d	White-throated
37564229	wankain be:d	bird sp. without crest
37564292	wankain be:d	Rufous Song-lark (or sp. of duck?)
37564292	wankain be:d	Rufous Song-lark
37562423	go gudwei	go good way
37562429	bulugi roud	proper bush track (of animal)
37562429	bulugi roud	proper bush track
37562429	bush trek	proper bush track (of animal)
37562429	bush trek	proper bush track
37562429	enimul trek	proper bush track (of animal)
37562429	enimul trek	proper bush track
37562430	solwoda tadul	with flat hands/feet
37562442	blandim misalb	hide (oneself)
